value.Community,value.Location,value.Frequency,value.Period
C73,RESIDENCE,248,Night
C73,STREET,241,Night
C73,APARTMENT,41,Night
C74,RESIDENCE,62,Night
C74,STREET,46,Night
C74,RESIDENTIAL YARD (FRONT/BACK),11,Night
C75,RESIDENCE,165,Night
C75,STREET,116,Night
C75,APARTMENT,23,Night
C76,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,37,Night
C76,AIRPORT VENDING ESTABLISHMENT,34,Night
C76,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,33,Night
C77,STREET,167,Night
C77,APARTMENT,147,Night
C77,RESIDENCE,77,Night
C1,APARTMENT,643,Day
C1,STREET,546,Day
C1,RESIDENCE,306,Day
C2,STREET,531,Day
C2,APARTMENT,450,Day
C2,RESIDENCE,326,Day
C3,APARTMENT,415,Day
C3,STREET,402,Day
C3,RESIDENCE,308,Day
C4,STREET,247,Day
C4,RESIDENCE,191,Day
C4,APARTMENT,157,Day
C5,STREET,214,Day
C5,RESIDENCE,140,Day
C5,APARTMENT,76,Day
C6,STREET,616,Day
C6,RESIDENCE,440,Day
C6,APARTMENT,380,Day
C7,STREET,895,Day
C7,RESIDENCE,261,Day
C7,OTHER,221,Day
C8,STREET,1061,Day
C8,DEPARTMENT STORE,1029,Day
C8,RESTAURANT,936,Day
C9,RESIDENCE,57,Day
C9,STREET,29,Day
C9,APARTMENT,14,Day
C10,RESIDENCE,252,Day
C10,STREET,121,Day
C10,"SCHOOL, PUBLIC, BUILDING",39,Day
C11,RESIDENCE,233,Day
C11,STREET,161,Day
C11,APARTMENT,52,Day
C12,RESIDENCE,122,Day
C12,STREET,86,Day
C12,OTHER,17,Day
C13,STREET,154,Day
C13,RESIDENCE,106,Day
C13,APARTMENT,60,Day
C14,STREET,379,Day
C14,RESIDENCE,239,Day
C14,APARTMENT,236,Day
C15,RESIDENCE,551,Day
C15,STREET,479,Day
C15,APARTMENT,179,Day
C16,STREET,470,Day
C16,RESIDENCE,355,Day
C16,APARTMENT,263,Day
C17,RESIDENCE,344,Day
C17,STREET,191,Day
C17,APARTMENT,72,Day
C18,RESIDENCE,139,Day
C18,STREET,62,Day
C18,APARTMENT,53,Day
C19,RESIDENCE,703,Day
C19,STREET,656,Day
