Community,Cluster
C1,3
C10,0
C11,0
C12,0
C13,0
C14,3
C15,3
C16,3
C17,6
C18,0
C19,1
C2,3
C20,6
C21,3
C22,1
C23,2
C24,7
C25,4
C26,1
C27,1
C28,7
C29,2
C3,3
C30,1
C31,3
C32,3
C33,0
C34,0
C35,6
C36,0
C37,0
C38,3
C39,6
C4,6
C40,3
C41,0
C42,3
C43,8
C44,9
C45,6
C46,9
C47,0
C48,6
C49,9
C5,0
C50,0
C51,6
C52,6
C53,9
C54,0
C55,0
C56,6
C57,0
C58,3
C59,6
C6,1
C60,6
C61,1
C62,0
C63,6
C64,0
C65,6
C66,9
C67,9
C68,9
C69,2
C7,3
C70,6
C71,2
C72,0
C73,6
C74,0
C75,6
C76,0
C77,3
C8,5
C9,0
