Community,LocationNight,FrequencyNight
C14,RESIDENTIAL YARD (FRONT/BACK),20
C14,OTHER,18
C14,PARKING LOT/GARAGE(NON.RESID.),18
C14,RESIDENCE PORCH/HALLWAY,14
C14,CTA TRAIN,13
C14,CONVENIENCE STORE,9
C14,SMALL RETAIL STORE,6
C14,CTA GARAGE / OTHER PROPERTY,5
C14,NURSING HOME/RETIREMENT HOME,5
C14,DRIVEWAY - RESIDENTIAL,5
C14,PARK PROPERTY,3
C14,GROCERY FOOD STORE,3
C14,BAR OR TAVERN,3
C14,CTA STATION,3
C14,COMMERCIAL / BUSINESS OFFICE,3
C14,TAXICAB,2
C14,DRUG STORE,2
C14,CTA PLATFORM,2
C14,VEHICLE - OTHER RIDE SERVICE,2
C14,TAVERN/LIQUOR STORE,1
C14,VEHICLE-COMMERCIAL,1
C14,SPORTS ARENA/STADIUM,1
C14,"SCHOOL, PUBLIC, BUILDING",1
C14,GAS STATION,1
C14,CHA APARTMENT,1
C14,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C15,STREET,312
C15,RESIDENCE,213
C15,APARTMENT,109
C15,SIDEWALK,58
C15,RESIDENCE-GARAGE,43
C15,PARKING LOT/GARAGE(NON.RESID.),33
C15,ALLEY,31
C15,VEHICLE NON-COMMERCIAL,31
C15,RESTAURANT,22
C15,RESIDENTIAL YARD (FRONT/BACK),21
C15,GROCERY FOOD STORE,14
C15,SMALL RETAIL STORE,14
C15,OTHER,13
C15,CONVENIENCE STORE,12
C15,BAR OR TAVERN,10
C15,GAS STATION,9
C15,COMMERCIAL / BUSINESS OFFICE,8
C15,RESIDENCE PORCH/HALLWAY,6
C15,DRIVEWAY - RESIDENTIAL,6
C15,ATM (AUTOMATIC TELLER MACHINE),6
C15,HOSPITAL BUILDING/GROUNDS,5
C15,TAXICAB,3
C15,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3
C15,PARK PROPERTY,3
C15,DEPARTMENT STORE,3
C15,CAR WASH,2
C15,MOVIE HOUSE/THEATER,2
C15,DRUG STORE,2
C15,"SCHOOL, PRIVATE, BUILDING",2
C15,HOTEL/MOTEL,2
C15,TAVERN/LIQUOR STORE,2
C15,POOL ROOM,2
C15,VEHICLE-COMMERCIAL,2
C15,AIRPORT/AIRCRAFT,1
C15,NURSING HOME/RETIREMENT HOME,1
C15,"SCHOOL, PUBLIC, BUILDING",1
C15,MEDICAL/DENTAL OFFICE,1
C15,SPORTS ARENA/STADIUM,1
C15,LIBRARY,1
C15,VEHICLE - OTHER RIDE SERVICE,1
C15,DAY CARE CENTER,1
C15,ANIMAL HOSPITAL,1
C15,ATHLETIC CLUB,1
C15,ABANDONED BUILDING,1
C15,"SCHOOL, PRIVATE, GROUNDS",1
C15,CLEANING STORE,1
C15,CONSTRUCTION SITE,1
C15,BARBERSHOP,1
C16,STREET,316
C16,APARTMENT,125
C16,RESIDENCE,108
C16,SIDEWALK,71
C16,VEHICLE NON-COMMERCIAL,43
C16,RESIDENCE-GARAGE,39
C16,OTHER,34
C16,ALLEY,22
C16,RESIDENTIAL YARD (FRONT/BACK),20
C16,RESTAURANT,20
C16,PARKING LOT/GARAGE(NON.RESID.),17
C16,CONVENIENCE STORE,15
C16,BAR OR TAVERN,15
C16,SMALL RETAIL STORE,15
C16,RESIDENCE PORCH/HALLWAY,11
C16,GAS STATION,9
C16,TAXICAB,8
C16,TAVERN/LIQUOR STORE,6
C16,VEHICLE-COMMERCIAL,4
C16,COMMERCIAL / BUSINESS OFFICE,4
C16,DRUG STORE,3
C16,CURRENCY EXCHANGE,3
C16,CTA TRAIN,3
C16,PARK PROPERTY,3
C16,GROCERY FOOD STORE,3
C16,CTA BUS STOP,2
C16,DRIVEWAY - RESIDENTIAL,2
C16,CLEANING STORE,2
C16,DEPARTMENT STORE,2
C16,NURSING HOME/RETIREMENT HOME,2
C16,"SCHOOL, PUBLIC, BUILDING",2
C16,FACTORY/MANUFACTURING BUILDING,2
C16,BANK,1
C16,ANIMAL HOSPITAL,1
C16,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C16,OTHER RAILROAD PROP / TRAIN DEPOT,1
C16,CTA BUS,1
C16,ATM (AUTOMATIC TELLER MACHINE),1
C16,WAREHOUSE,1
C16,CONSTRUCTION SITE,1
C16,OTHER COMMERCIAL TRANSPORTATION,1
C16,GOVERNMENT BUILDING/PROPERTY,1
C16,CTA STATION,1
C16,SPORTS ARENA/STADIUM,1
C16,MOVIE HOUSE/THEATER,1
C16,"SCHOOL, PUBLIC, GROUNDS",1
C17,RESIDENCE,135
C17,STREET,123
C17,APARTMENT,40
C17,RESIDENCE-GARAGE,27
C17,SIDEWALK,21
C17,RESIDENTIAL YARD (FRONT/BACK),16
C17,ALLEY,13
C17,VEHICLE NON-COMMERCIAL,11
C17,PARKING LOT/GARAGE(NON.RESID.),11
C17,BAR OR TAVERN,8
C17,RESTAURANT,8
C17,OTHER,7
C17,RESIDENCE PORCH/HALLWAY,5
C17,DRIVEWAY - RESIDENTIAL,5
C17,"SCHOOL, PUBLIC, BUILDING",4
C17,TAXICAB,3
C17,POOL ROOM,2
C17,CONVENIENCE STORE,2
C17,GAS STATION,2
C17,SMALL RETAIL STORE,2
C17,WAREHOUSE,1
C17,PARK PROPERTY,1
C17,COLLEGE/UNIVERSITY RESIDENCE HALL,1
C17,"SCHOOL, PUBLIC, GROUNDS",1
C17,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C17,TAVERN/LIQUOR STORE,1
C18,RESIDENCE,55
C18,STREET,51
C18,APARTMENT,26
C18,SIDEWALK,11
C18,RESIDENCE-GARAGE,9
C18,PARKING LOT/GARAGE(NON.RESID.),7
C18,OTHER,6
C18,VEHICLE NON-COMMERCIAL,6
C18,SMALL RETAIL STORE,4
C18,RESIDENTIAL YARD (FRONT/BACK),4
C18,DRIVEWAY - RESIDENTIAL,3
C18,CONVENIENCE STORE,3
C18,RESIDENCE PORCH/HALLWAY,2
C18,RESTAURANT,2
C18,ALLEY,2
C18,BAR OR TAVERN,2
C18,NURSING HOME/RETIREMENT HOME,1
C18,BANK,1
C18,COMMERCIAL / BUSINESS OFFICE,1
C18,ATM (AUTOMATIC TELLER MACHINE),1
C18,CTA BUS,1
C18,PARK PROPERTY,1
C18,GROCERY FOOD STORE,1
C18,CAR WASH,1
C19,STREET,460
C19,RESIDENCE,244
C19,APARTMENT,148
C19,SIDEWALK,102
C19,RESIDENTIAL YARD (FRONT/BACK),44
C19,ALLEY,43
C19,RESIDENCE-GARAGE,41
C19,PARKING LOT/GARAGE(NON.RESID.),38
C19,RESTAURANT,31
C19,VEHICLE NON-COMMERCIAL,29
C19,SMALL RETAIL STORE,27
C19,OTHER,26
C19,BAR OR TAVERN,14
C19,POLICE FACILITY/VEH PARKING LOT,12
C19,RESIDENCE PORCH/HALLWAY,11
C19,CONVENIENCE STORE,10
C19,GROCERY FOOD STORE,10
C19,GAS STATION,10
C19,DRIVEWAY - RESIDENTIAL,9
C19,ATHLETIC CLUB,9
C19,COMMERCIAL / BUSINESS OFFICE,8
C19,GOVERNMENT BUILDING/PROPERTY,6
C19,TAVERN/LIQUOR STORE,5
C19,DEPARTMENT STORE,5
C19,NURSING HOME/RETIREMENT HOME,5
C19,CURRENCY EXCHANGE,4
C19,PARK PROPERTY,3
C19,SPORTS ARENA/STADIUM,3
C19,DRUG STORE,3
C19,COIN OPERATED MACHINE,2
C19,JAIL / LOCK-UP FACILITY,2
C19,WAREHOUSE,2
C19,TAXICAB,2
C19,PAWN SHOP,2
C19,VEHICLE - OTHER RIDE SERVICE,2
C19,CTA BUS STOP,2
C19,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C19,CLEANING STORE,1
C19,YARD,1
C19,ATM (AUTOMATIC TELLER MACHINE),1
C19,AUTO / BOAT / RV DEALERSHIP,1
C19,"SCHOOL, PRIVATE, BUILDING",1
C19,BARBERSHOP,1
C19,POOL ROOM,1
C19,VACANT LOT/LAND,1
C19,FACTORY/MANUFACTURING BUILDING,1
C19,"SCHOOL, PUBLIC, GROUNDS",1
C2,STREET,364
C2,APARTMENT,185
C2,RESIDENCE,117
C2,SIDEWALK,59
C2,OTHER,43
C2,ALLEY,36
C2,PARKING LOT/GARAGE(NON.RESID.),35
C2,RESIDENCE-GARAGE,34
C2,VEHICLE NON-COMMERCIAL,26
C2,RESIDENTIAL YARD (FRONT/BACK),22
C2,RESTAURANT,19
C2,RESIDENCE PORCH/HALLWAY,16
C2,CONVENIENCE STORE,14
C2,BAR OR TAVERN,11
C2,SMALL RETAIL STORE,11
C2,TAXICAB,10
C2,DRUG STORE,9
C2,NURSING HOME/RETIREMENT HOME,8
C2,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,8
C2,GROCERY FOOD STORE,7
C2,GAS STATION,7
C2,COMMERCIAL / BUSINESS OFFICE,6
C2,CURRENCY EXCHANGE,6
C2,PARK PROPERTY,6
C2,DRIVEWAY - RESIDENTIAL,5
C2,HOTEL/MOTEL,4
C2,"SCHOOL, PUBLIC, GROUNDS",3
C2,BANK,3
C2,CLEANING STORE,2
C2,ATM (AUTOMATIC TELLER MACHINE),2
C2,CAR WASH,1
C2,SPORTS ARENA/STADIUM,1
C2,VEHICLE - OTHER RIDE SERVICE,1
C2,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C2,HOSPITAL BUILDING/GROUNDS,1
C2,"SCHOOL, PRIVATE, BUILDING",1
C2,TAVERN/LIQUOR STORE,1
C2,DEPARTMENT STORE,1
C20,STREET,146
C20,RESIDENCE,73
C20,APARTMENT,70
C20,SIDEWALK,26
C20,ALLEY,21
C20,VEHICLE NON-COMMERCIAL,15
C20,RESIDENCE-GARAGE,14
C20,RESIDENTIAL YARD (FRONT/BACK),11
C20,SMALL RETAIL STORE,9
C20,OTHER,8
C20,RESTAURANT,6
C20,GAS STATION,6
C20,PARKING LOT/GARAGE(NON.RESID.),5
C20,DEPARTMENT STORE,3
C20,TAVERN/LIQUOR STORE,2
C20,TAXICAB,2
C20,FACTORY/MANUFACTURING BUILDING,2
C20,AUTO,1
C20,PARK PROPERTY,1
C20,CONSTRUCTION SITE,1
C20,WAREHOUSE,1
C20,CONVENIENCE STORE,1
C20,VEHICLE-COMMERCIAL,1
C20,GROCERY FOOD STORE,1
C20,CAR WASH,1
C20,VACANT LOT/LAND,1
C20,COMMERCIAL / BUSINESS OFFICE,1
C20,RESIDENCE PORCH/HALLWAY,1
C20,BANK,1
C20,DRIVEWAY - RESIDENTIAL,1
C20,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C21,STREET,239
C21,APARTMENT,117
C21,RESIDENCE,93
C21,SIDEWALK,50
C21,OTHER,23
C21,RESIDENCE-GARAGE,20
C21,ALLEY,20
C21,SMALL RETAIL STORE,19
C21,RESIDENTIAL YARD (FRONT/BACK),18
C21,VEHICLE NON-COMMERCIAL,17
C21,CONVENIENCE STORE,15
C21,PARKING LOT/GARAGE(NON.RESID.),15
C21,RESTAURANT,14
C21,BAR OR TAVERN,12
C21,GAS STATION,12
C21,RESIDENCE PORCH/HALLWAY,11
C21,CTA TRAIN,6
C21,CTA PLATFORM,4
C21,DEPARTMENT STORE,4
C21,GROCERY FOOD STORE,3
C21,TAXICAB,3
C21,BANK,3
C21,TAVERN/LIQUOR STORE,3
C21,BARBERSHOP,2
C21,DRUG STORE,2
C21,VEHICLE - OTHER RIDE SERVICE,2
C21,DRIVEWAY - RESIDENTIAL,2
C21,ATM (AUTOMATIC TELLER MACHINE),2
C21,WAREHOUSE,2
C21,HIGHWAY/EXPRESSWAY,1
C21,VACANT LOT/LAND,1
C21,CTA STATION,1
C21,SPORTS ARENA/STADIUM,1
C21,"SCHOOL, PUBLIC, BUILDING",1
C21,ATHLETIC CLUB,1
C21,COMMERCIAL / BUSINESS OFFICE,1
C21,CHA APARTMENT,1
C21,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C21,CLEANING STORE,1
C21,ABANDONED BUILDING,1
C21,PARK PROPERTY,1
C22,STREET,518
C22,APARTMENT,179
C22,RESIDENCE,173
C22,SIDEWALK,135
C22,BAR OR TAVERN,85
C22,OTHER,59
C22,VEHICLE NON-COMMERCIAL,49
C22,PARKING LOT/GARAGE(NON.RESID.),45
C22,RESTAURANT,39
C22,ALLEY,37
C22,RESIDENCE-GARAGE,33
C22,RESIDENTIAL YARD (FRONT/BACK),32
C22,SMALL RETAIL STORE,30
C22,RESIDENCE PORCH/HALLWAY,17
C22,GAS STATION,17
C22,DEPARTMENT STORE,14
C22,COMMERCIAL / BUSINESS OFFICE,13
C22,TAVERN/LIQUOR STORE,13
C22,CONVENIENCE STORE,13
C22,PARK PROPERTY,11
C22,DRUG STORE,10
C22,MOVIE HOUSE/THEATER,7
C22,CTA BUS STOP,6
C22,CTA PLATFORM,6
C22,BOWLING ALLEY,5
C22,ATHLETIC CLUB,5
C22,TAXICAB,5
C22,VEHICLE - OTHER RIDE SERVICE,4
C22,BANK,4
C22,GROCERY FOOD STORE,4
C22,CHA APARTMENT,3
C22,CTA TRAIN,3
C22,NURSING HOME/RETIREMENT HOME,3
C22,DRIVEWAY - RESIDENTIAL,2
C22,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C22,OTHER RAILROAD PROP / TRAIN DEPOT,2
C22,WAREHOUSE,2
C22,CHA PARKING LOT/GROUNDS,2
C22,CTA BUS,2
C22,BARBERSHOP,2
C22,CTA STATION,2
C22,"SCHOOL, PUBLIC, GROUNDS",1
C22,FEDERAL BUILDING,1
C22,HOSPITAL BUILDING/GROUNDS,1
C22,AUTO,1
C22,ABANDONED BUILDING,1
C22,CURRENCY EXCHANGE,1
C22,CLEANING STORE,1
C22,JAIL / LOCK-UP FACILITY,1
C22,ATM (AUTOMATIC TELLER MACHINE),1
C22,POLICE FACILITY/VEH PARKING LOT,1
C22,VEHICLE-COMMERCIAL,1
C22,CTA GARAGE / OTHER PROPERTY,1
C22,VACANT LOT/LAND,1
C22,CAR WASH,1
C22,MEDICAL/DENTAL OFFICE,1
C23,STREET,710
C23,APARTMENT,327
C23,RESIDENCE,308
C23,SIDEWALK,254
C23,VEHICLE NON-COMMERCIAL,65
C23,ALLEY,64
C23,RESIDENTIAL YARD (FRONT/BACK),59
C23,GAS STATION,51
C23,OTHER,47
C23,RESIDENCE-GARAGE,44
C23,RESIDENCE PORCH/HALLWAY,44
C23,PARKING LOT/GARAGE(NON.RESID.),41
C23,SMALL RETAIL STORE,26
C23,RESTAURANT,17
C23,VACANT LOT/LAND,9
C23,COMMERCIAL / BUSINESS OFFICE,8
C23,CHA APARTMENT,8
C23,TAXICAB,7
C23,PARK PROPERTY,6
C23,BAR OR TAVERN,6
C23,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6
C23,WAREHOUSE,5
C23,TAVERN/LIQUOR STORE,5
C23,DEPARTMENT STORE,5
C23,CTA BUS,4
C23,CONVENIENCE STORE,4
C23,"SCHOOL, PUBLIC, GROUNDS",4
C23,LIBRARY,4
C23,BANK,4
C23,CONSTRUCTION SITE,3
C23,DRIVEWAY - RESIDENTIAL,3
C23,PAWN SHOP,2
C23,SPORTS ARENA/STADIUM,2
C23,GROCERY FOOD STORE,2
C23,HOSPITAL BUILDING/GROUNDS,2
C23,CTA BUS STOP,2
C23,CLEANING STORE,2
C23,CURRENCY EXCHANGE,2
C23,CHA PARKING LOT/GROUNDS,1
C23,HOTEL/MOTEL,1
C23,POLICE FACILITY/VEH PARKING LOT,1
C23,PARKING LOT,1
C23,VEHICLE-COMMERCIAL,1
C23,DRIVEWAY,1
C23,NURSING HOME/RETIREMENT HOME,1
C23,"SCHOOL, PUBLIC, BUILDING",1
C23,VEHICLE - OTHER RIDE SERVICE,1
C23,DAY CARE CENTER,1
C24,STREET,924
C24,APARTMENT,240
C24,SIDEWALK,240
C24,RESIDENCE,215
C24,BAR OR TAVERN,123
C24,RESTAURANT,93
C24,RESIDENCE-GARAGE,86
C24,OTHER,84
C24,ALLEY,75
C24,VEHICLE NON-COMMERCIAL,74
C24,PARKING LOT/GARAGE(NON.RESID.),60
C24,RESIDENTIAL YARD (FRONT/BACK),51
C24,RESIDENCE PORCH/HALLWAY,47
C24,SMALL RETAIL STORE,36
C24,GAS STATION,22
C24,HOSPITAL BUILDING/GROUNDS,21
C24,TAVERN/LIQUOR STORE,20
C24,CHA APARTMENT,16
C24,PARK PROPERTY,15
C24,CTA TRAIN,13
C24,CONVENIENCE STORE,12
C24,CTA PLATFORM,12
C24,COMMERCIAL / BUSINESS OFFICE,12
C24,TAXICAB,11
C24,DRIVEWAY - RESIDENTIAL,11
C24,GROCERY FOOD STORE,8
C24,DRUG STORE,8
C24,ATM (AUTOMATIC TELLER MACHINE),8
C24,DEPARTMENT STORE,7
C24,CONSTRUCTION SITE,6
C24,NURSING HOME/RETIREMENT HOME,5
C24,CTA STATION,4
C24,"SCHOOL, PUBLIC, BUILDING",4
C24,CTA BUS STOP,4
C24,CHA PARKING LOT/GROUNDS,4
C24,HOTEL/MOTEL,4
C24,WAREHOUSE,4
C24,SPORTS ARENA/STADIUM,3
C24,MEDICAL/DENTAL OFFICE,3
C24,BANK,3
C24,CTA BUS,3
C24,VEHICLE-COMMERCIAL,2
C24,VACANT LOT/LAND,2
C24,ATHLETIC CLUB,2
C24,FACTORY/MANUFACTURING BUILDING,2
C24,VEHICLE - OTHER RIDE SERVICE,2
C24,POOL ROOM,2
C24,"SCHOOL, PRIVATE, BUILDING",2
C24,BARBERSHOP,2
C24,PAWN SHOP,1
C24,CAR WASH,1
C24,"SCHOOL, PUBLIC, GROUNDS",1
C24,LIBRARY,1
C24,"SCHOOL, PRIVATE, GROUNDS",1
C24,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C24,VEHICLE - DELIVERY TRUCK,1
C24,CURRENCY EXCHANGE,1
C24,DAY CARE CENTER,1
C24,AUTO,1
C24,HIGHWAY/EXPRESSWAY,1
C25,STREET,1419
C25,APARTMENT,783
C25,RESIDENCE,665
C25,SIDEWALK,516
C25,ALLEY,124
C25,GAS STATION,114
C25,RESIDENTIAL YARD (FRONT/BACK),108
C25,VEHICLE NON-COMMERCIAL,99
C25,OTHER,95
C25,PARKING LOT/GARAGE(NON.RESID.),83
C25,RESIDENCE PORCH/HALLWAY,82
C25,RESIDENCE-GARAGE,49
C25,RESTAURANT,39
C25,SMALL RETAIL STORE,35
C25,NURSING HOME/RETIREMENT HOME,32
C25,DEPARTMENT STORE,22
C25,CONVENIENCE STORE,17
C25,COMMERCIAL / BUSINESS OFFICE,13
C25,HOSPITAL BUILDING/GROUNDS,13
C25,CTA BUS STOP,13
C25,DRIVEWAY - RESIDENTIAL,12
C25,TAVERN/LIQUOR STORE,12
C25,PARK PROPERTY,10
C25,GROCERY FOOD STORE,10
C25,CTA TRAIN,9
C25,POLICE FACILITY/VEH PARKING LOT,8
C25,CTA STATION,8
C25,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7
C25,CTA BUS,7
C25,CURRENCY EXCHANGE,6
C25,BARBERSHOP,6
C25,BAR OR TAVERN,6
C25,DRUG STORE,5
C25,VACANT LOT/LAND,5
C25,TAXICAB,5
C25,CTA PLATFORM,4
C25,"SCHOOL, PUBLIC, BUILDING",4
C25,FACTORY/MANUFACTURING BUILDING,3
C25,ATM (AUTOMATIC TELLER MACHINE),3
C25,JAIL / LOCK-UP FACILITY,3
