Community,LocationNight,FrequencyNight
C26,FACTORY/MANUFACTURING BUILDING,1
C26,HOSPITAL BUILDING/GROUNDS,1
C26,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C26,DRIVEWAY - RESIDENTIAL,1
C26,AUTO,1
C26,CONSTRUCTION SITE,1
C26,WAREHOUSE,1
C26,ATM (AUTOMATIC TELLER MACHINE),1
C27,STREET,392
C27,APARTMENT,280
C27,RESIDENCE,152
C27,SIDEWALK,146
C27,GAS STATION,46
C27,OTHER,39
C27,ALLEY,38
C27,VEHICLE NON-COMMERCIAL,33
C27,RESIDENTIAL YARD (FRONT/BACK),26
C27,PARKING LOT/GARAGE(NON.RESID.),24
C27,POLICE FACILITY/VEH PARKING LOT,23
C27,RESIDENCE PORCH/HALLWAY,19
C27,RESTAURANT,9
C27,BAR OR TAVERN,9
C27,CTA PLATFORM,8
C27,CTA TRAIN,7
C27,VACANT LOT/LAND,6
C27,RESIDENCE-GARAGE,6
C27,SMALL RETAIL STORE,6
C27,CHA APARTMENT,6
C27,CHA HALLWAY/STAIRWELL/ELEVATOR,6
C27,CTA BUS STOP,5
C27,PARK PROPERTY,5
C27,CTA STATION,4
C27,JAIL / LOCK-UP FACILITY,3
C27,HOTEL/MOTEL,3
C27,CONVENIENCE STORE,3
C27,GOVERNMENT BUILDING/PROPERTY,2
C27,"SCHOOL, PUBLIC, BUILDING",2
C27,DRIVEWAY - RESIDENTIAL,2
C27,ABANDONED BUILDING,2
C27,AUTO,2
C27,TAVERN/LIQUOR STORE,2
C27,WAREHOUSE,2
C27,CHA PARKING LOT/GROUNDS,2
C27,TAXICAB,2
C27,SPORTS ARENA/STADIUM,1
C27,COMMERCIAL / BUSINESS OFFICE,1
C27,"SCHOOL, PUBLIC, GROUNDS",1
C27,VEHICLE - OTHER RIDE SERVICE,1
C27,HOSPITAL BUILDING/GROUNDS,1
C27,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C27,CTA BUS,1
C27,ATM (AUTOMATIC TELLER MACHINE),1
C27,HIGHWAY/EXPRESSWAY,1
C28,STREET,711
C28,APARTMENT,221
C28,SIDEWALK,166
C28,RESIDENCE,158
C28,OTHER,149
C28,PARKING LOT/GARAGE(NON.RESID.),124
C28,RESTAURANT,105
C28,BAR OR TAVERN,53
C28,VEHICLE NON-COMMERCIAL,47
C28,CHA APARTMENT,42
C28,SMALL RETAIL STORE,38
C28,GROCERY FOOD STORE,32
C28,ALLEY,31
C28,HOSPITAL BUILDING/GROUNDS,29
C28,CHA PARKING LOT/GROUNDS,28
C28,CTA TRAIN,27
C28,GAS STATION,27
C28,RESIDENCE-GARAGE,27
C28,PARK PROPERTY,24
C28,HOTEL/MOTEL,21
C28,COMMERCIAL / BUSINESS OFFICE,19
C28,RESIDENTIAL YARD (FRONT/BACK),18
C28,RESIDENCE PORCH/HALLWAY,18
C28,CONVENIENCE STORE,17
C28,DRUG STORE,15
C28,DEPARTMENT STORE,14
C28,SPORTS ARENA/STADIUM,13
C28,OTHER COMMERCIAL TRANSPORTATION,11
C28,CURRENCY EXCHANGE,9
C28,ATM (AUTOMATIC TELLER MACHINE),9
C28,TAXICAB,9
C28,CTA PLATFORM,9
C28,OTHER RAILROAD PROP / TRAIN DEPOT,8
C28,CONSTRUCTION SITE,7
C28,VEHICLE-COMMERCIAL,7
C28,GOVERNMENT BUILDING/PROPERTY,7
C28,BANK,6
C28,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6
C28,CTA STATION,6
C28,CTA BUS STOP,6
C28,CHA HALLWAY/STAIRWELL/ELEVATOR,6
C28,CTA BUS,5
C28,"SCHOOL, PUBLIC, BUILDING",5
C28,TAVERN/LIQUOR STORE,4
C28,COLLEGE/UNIVERSITY GROUNDS,4
C28,VEHICLE - OTHER RIDE SERVICE,4
C28,DRIVEWAY - RESIDENTIAL,3
C28,WAREHOUSE,3
C28,NURSING HOME/RETIREMENT HOME,3
C28,"SCHOOL, PUBLIC, GROUNDS",3
C28,ABANDONED BUILDING,2
C28,POOL ROOM,2
C28,POLICE FACILITY/VEH PARKING LOT,2
C28,CTA GARAGE / OTHER PROPERTY,2
C28,VACANT LOT/LAND,2
C28,MEDICAL/DENTAL OFFICE,2
C28,ATHLETIC CLUB,2
C28,SCHOOL YARD,1
C28,DAY CARE CENTER,1
C28,FIRE STATION,1
C28,JAIL / LOCK-UP FACILITY,1
C28,COLLEGE/UNIVERSITY RESIDENCE HALL,1
C28,"SCHOOL, PRIVATE, BUILDING",1
C29,STREET,618
C29,APARTMENT,510
C29,RESIDENCE,359
C29,SIDEWALK,326
C29,ALLEY,72
C29,GAS STATION,63
C29,VEHICLE NON-COMMERCIAL,60
C29,RESIDENTIAL YARD (FRONT/BACK),54
C29,OTHER,54
C29,RESIDENCE PORCH/HALLWAY,52
C29,PARKING LOT/GARAGE(NON.RESID.),33
C29,HOSPITAL BUILDING/GROUNDS,22
C29,VACANT LOT/LAND,17
C29,PARK PROPERTY,15
C29,POLICE FACILITY/VEH PARKING LOT,14
C29,ABANDONED BUILDING,13
C29,RESIDENCE-GARAGE,12
C29,RESTAURANT,8
C29,CONVENIENCE STORE,6
C29,TAVERN/LIQUOR STORE,6
C29,CTA TRAIN,6
C29,CTA STATION,5
C29,CTA BUS STOP,5
C29,SMALL RETAIL STORE,5
C29,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,4
C29,CHA APARTMENT,4
C29,GOVERNMENT BUILDING/PROPERTY,3
C29,"SCHOOL, PUBLIC, GROUNDS",3
C29,DRIVEWAY - RESIDENTIAL,3
C29,BAR OR TAVERN,2
C29,CHA HALLWAY/STAIRWELL/ELEVATOR,2
C29,CTA PLATFORM,2
C29,COMMERCIAL / BUSINESS OFFICE,2
C29,ATM (AUTOMATIC TELLER MACHINE),2
C29,DEPARTMENT STORE,1
C29,POOL ROOM,1
C29,VEHICLE-COMMERCIAL,1
C29,OTHER COMMERCIAL TRANSPORTATION,1
C29,GROCERY FOOD STORE,1
C29,TAXICAB,1
C29,PORCH,1
C29,VEHICLE - OTHER RIDE SERVICE,1
C29,"SCHOOL, PUBLIC, BUILDING",1
C29,AUTO,1
C29,DAY CARE CENTER,1
C29,WAREHOUSE,1
C29,CONSTRUCTION SITE,1
C29,CHA PARKING LOT/GROUNDS,1
C29,CTA PROPERTY,1
C3,STREET,182
C3,APARTMENT,182
C3,RESIDENCE,104
C3,SIDEWALK,83
C3,OTHER,65
C3,PARKING LOT/GARAGE(NON.RESID.),34
C3,RESTAURANT,27
C3,RESIDENCE PORCH/HALLWAY,22
C3,ALLEY,19
C3,NURSING HOME/RETIREMENT HOME,17
C3,HOSPITAL BUILDING/GROUNDS,17
C3,VEHICLE NON-COMMERCIAL,16
C3,SMALL RETAIL STORE,14
C3,PARK PROPERTY,14
C3,CONVENIENCE STORE,12
C3,BAR OR TAVERN,10
C3,RESIDENCE-GARAGE,10
C3,MOVIE HOUSE/THEATER,9
C3,RESIDENTIAL YARD (FRONT/BACK),8
C3,CTA TRAIN,5
C3,GROCERY FOOD STORE,5
C3,DEPARTMENT STORE,4
C3,GAS STATION,3
C3,HOTEL/MOTEL,3
C3,TAVERN/LIQUOR STORE,3
C3,SPORTS ARENA/STADIUM,3
C3,"SCHOOL, PUBLIC, GROUNDS",3
C3,BANK,2
C3,DRUG STORE,2
C3,CONSTRUCTION SITE,2
C3,ATM (AUTOMATIC TELLER MACHINE),2
C3,TAXICAB,2
C3,"SCHOOL, PUBLIC, BUILDING",2
C3,MEDICAL/DENTAL OFFICE,2
C3,COMMERCIAL / BUSINESS OFFICE,2
C3,CTA BUS STOP,1
C3,CHA APARTMENT,1
C3,"SCHOOL, PRIVATE, GROUNDS",1
C3,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C3,DRIVEWAY - RESIDENTIAL,1
C3,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C3,CLEANING STORE,1
C3,ANIMAL HOSPITAL,1
C3,CHA PARKING LOT/GROUNDS,1
C3,"SCHOOL, PRIVATE, BUILDING",1
C3,COLLEGE/UNIVERSITY GROUNDS,1
C3,TAVERN,1
C3,CTA STATION,1
C3,CTA GARAGE / OTHER PROPERTY,1
C3,BOAT/WATERCRAFT,1
C30,STREET,459
C30,APARTMENT,224
C30,RESIDENCE,186
C30,SIDEWALK,168
C30,ALLEY,46
C30,VEHICLE NON-COMMERCIAL,44
C30,RESIDENTIAL YARD (FRONT/BACK),42
C30,OTHER,39
C30,PARKING LOT/GARAGE(NON.RESID.),25
C30,RESIDENCE-GARAGE,19
C30,RESIDENCE PORCH/HALLWAY,19
C30,GAS STATION,18
C30,RESTAURANT,17
C30,BAR OR TAVERN,11
C30,DRUG STORE,8
C30,GROCERY FOOD STORE,6
C30,DRIVEWAY - RESIDENTIAL,6
C30,SMALL RETAIL STORE,6
C30,JAIL / LOCK-UP FACILITY,6
C30,CONVENIENCE STORE,5
C30,COMMERCIAL / BUSINESS OFFICE,4
C30,"SCHOOL, PUBLIC, GROUNDS",4
C30,"SCHOOL, PUBLIC, BUILDING",3
C30,CHA APARTMENT,3
C30,GOVERNMENT BUILDING/PROPERTY,2
C30,VACANT LOT/LAND,2
C30,HOSPITAL BUILDING/GROUNDS,2
C30,"SCHOOL, PRIVATE, GROUNDS",2
C30,CTA BUS STOP,2
C30,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C30,ANIMAL HOSPITAL,2
C30,OTHER RAILROAD PROP / TRAIN DEPOT,2
C30,CHA PARKING LOT/GROUNDS,2
C30,TAVERN/LIQUOR STORE,2
C30,POLICE FACILITY/VEH PARKING LOT,1
C30,PARK PROPERTY,1
C30,CTA STATION,1
C30,SPORTS ARENA/STADIUM,1
C30,OTHER COMMERCIAL TRANSPORTATION,1
C30,CTA PLATFORM,1
C30,VEHICLE - OTHER RIDE SERVICE,1
C30,BANK,1
C30,YARD,1
C30,WAREHOUSE,1
C30,"SCHOOL, PRIVATE, BUILDING",1
C31,STREET,231
C31,APARTMENT,123
C31,RESIDENCE,103
C31,SIDEWALK,77
C31,RESTAURANT,35
C31,OTHER,31
C31,PARKING LOT/GARAGE(NON.RESID.),21
C31,ALLEY,20
C31,BAR OR TAVERN,17
C31,VEHICLE NON-COMMERCIAL,17
C31,RESIDENCE-GARAGE,15
C31,GAS STATION,12
C31,RESIDENCE PORCH/HALLWAY,12
C31,SMALL RETAIL STORE,10
C31,RESIDENTIAL YARD (FRONT/BACK),9
C31,PARK PROPERTY,7
C31,COMMERCIAL / BUSINESS OFFICE,6
C31,CTA TRAIN,5
C31,WAREHOUSE,4
C31,GROCERY FOOD STORE,4
C31,CTA PLATFORM,3
C31,DRIVEWAY - RESIDENTIAL,3
C31,ATM (AUTOMATIC TELLER MACHINE),3
C31,DEPARTMENT STORE,3
C31,VEHICLE-COMMERCIAL,3
C31,CTA STATION,3
C31,FACTORY/MANUFACTURING BUILDING,2
C31,"SCHOOL, PUBLIC, GROUNDS",2
C31,VEHICLE - OTHER RIDE SERVICE,2
C31,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C31,OTHER RAILROAD PROP / TRAIN DEPOT,2
C31,"SCHOOL, PRIVATE, BUILDING",2
C31,GOVERNMENT BUILDING/PROPERTY,2
C31,NURSING HOME/RETIREMENT HOME,1
C31,HOUSE,1
C31,FOREST PRESERVE,1
C31,"SCHOOL, PRIVATE, GROUNDS",1
C31,BANK,1
C31,CHA APARTMENT,1
C31,ANIMAL HOSPITAL,1
C31,ABANDONED BUILDING,1
C31,TAVERN/LIQUOR STORE,1
C31,CTA BUS,1
C31,CONSTRUCTION SITE,1
C31,BARBERSHOP,1
C31,CONVENIENCE STORE,1
C31,TAXICAB,1
C31,SPORTS ARENA/STADIUM,1
C31,PORCH,1
C31,VACANT LOT/LAND,1
C32,STREET,246
C32,SIDEWALK,145
C32,RESTAURANT,138
C32,HOTEL/MOTEL,125
C32,OTHER,90
C32,PARK PROPERTY,90
C32,PARKING LOT/GARAGE(NON.RESID.),87
C32,CTA TRAIN,67
C32,SMALL RETAIL STORE,63
C32,APARTMENT,61
C32,RESIDENCE,61
C32,CTA PLATFORM,55
C32,CONVENIENCE STORE,53
C32,DEPARTMENT STORE,45
C32,BAR OR TAVERN,41
C32,CTA STATION,27
C32,COMMERCIAL / BUSINESS OFFICE,27
C32,ALLEY,19
C32,VEHICLE NON-COMMERCIAL,13
C32,TAXICAB,13
C32,BANK,12
C32,ATM (AUTOMATIC TELLER MACHINE),9
C32,GROCERY FOOD STORE,9
C32,DRUG STORE,8
C32,CTA BUS STOP,7
C32,COLLEGE/UNIVERSITY RESIDENCE HALL,6
C32,"SCHOOL, PRIVATE, BUILDING",6
C32,GOVERNMENT BUILDING/PROPERTY,6
C32,MOVIE HOUSE/THEATER,6
C32,TAVERN/LIQUOR STORE,5
C32,VEHICLE-COMMERCIAL,5
C32,GAS STATION,5
C32,RESIDENCE-GARAGE,5
C32,RESIDENTIAL YARD (FRONT/BACK),4
C32,COLLEGE/UNIVERSITY GROUNDS,4
C32,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,4
C32,CTA BUS,3
C32,CTA GARAGE / OTHER PROPERTY,3
C32,LAKEFRONT/WATERFRONT/RIVERBANK,3
C32,VEHICLE - OTHER RIDE SERVICE,3
C32,ATHLETIC CLUB,3
C32,CTA TRACKS - RIGHT OF WAY,2
C32,OTHER COMMERCIAL TRANSPORTATION,2
C32,RESIDENCE PORCH/HALLWAY,2
C32,BOAT/WATERCRAFT,2
C32,VEHICLE - DELIVERY TRUCK,2
C32,JAIL / LOCK-UP FACILITY,1
C32,POLICE FACILITY/VEH PARKING LOT,1
C32,HIGHWAY/EXPRESSWAY,1
C32,NURSING HOME/RETIREMENT HOME,1
C32,BRIDGE,1
C32,SPORTS ARENA/STADIUM,1
C32,MEDICAL/DENTAL OFFICE,1
C32,LIBRARY,1
C32,"SCHOOL, PUBLIC, GROUNDS",1
C32,"SCHOOL, PUBLIC, BUILDING",1
C32,BOWLING ALLEY,1
C32,FEDERAL BUILDING,1
C32,"SCHOOL, PRIVATE, GROUNDS",1
C32,DRIVEWAY - RESIDENTIAL,1
C33,STREET,116
C33,RESIDENCE,57
C33,APARTMENT,51
C33,OTHER,41
C33,SIDEWALK,26
C33,RESTAURANT,21
C33,PARKING LOT/GARAGE(NON.RESID.),18
C33,GROCERY FOOD STORE,15
C33,HOTEL/MOTEL,13
C33,HOSPITAL BUILDING/GROUNDS,12
C33,GAS STATION,11
C33,PARK PROPERTY,11
C33,BAR OR TAVERN,10
C33,TAXICAB,8
C33,RESIDENCE-GARAGE,8
C33,VEHICLE NON-COMMERCIAL,7
C33,SPORTS ARENA/STADIUM,5
C33,ALLEY,5
C33,RESIDENCE PORCH/HALLWAY,4
C33,SMALL RETAIL STORE,4
C33,POLICE FACILITY/VEH PARKING LOT,4
C33,VEHICLE-COMMERCIAL,3
C33,CTA TRAIN,3
C33,LAKEFRONT/WATERFRONT/RIVERBANK,2
C33,BANK,2
C33,BOAT/WATERCRAFT,2
C33,CHA APARTMENT,2
C33,CONSTRUCTION SITE,2
C33,TAVERN/LIQUOR STORE,2
C33,GOVERNMENT BUILDING/PROPERTY,1
C33,OTHER COMMERCIAL TRANSPORTATION,1
C33,NURSING HOME/RETIREMENT HOME,1
C33,MEDICAL/DENTAL OFFICE,1
C33,CTA PLATFORM,1
C33,BRIDGE,1
C33,CTA BUS STOP,1
C33,DRIVEWAY - RESIDENTIAL,1
C33,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C33,"SCHOOL, PRIVATE, GROUNDS",1
C33,RESIDENTIAL YARD (FRONT/BACK),1
C33,JAIL / LOCK-UP FACILITY,1
C33,CTA TRACKS - RIGHT OF WAY,1
C33,CHA PARKING LOT/GROUNDS,1
C33,HIGHWAY/EXPRESSWAY,1
C33,BARBERSHOP,1
C34,STREET,80
C34,RESIDENCE,30
C34,SIDEWALK,29
C34,APARTMENT,23
C34,RESTAURANT,22
C34,CHA PARKING LOT/GROUNDS,21
C34,CTA TRAIN,17
C34,CHA APARTMENT,15
C34,PARKING LOT/GARAGE(NON.RESID.),8
C34,OTHER,7
C34,VEHICLE NON-COMMERCIAL,7
C34,GAS STATION,6
C34,PARK PROPERTY,5
C34,SPORTS ARENA/STADIUM,5
C34,SMALL RETAIL STORE,4
C34,HOTEL/MOTEL,4
C34,BAR OR TAVERN,4
C34,RESIDENCE-GARAGE,4
C34,RESIDENTIAL YARD (FRONT/BACK),3
C34,ATM (AUTOMATIC TELLER MACHINE),3
C34,CTA STATION,3
C34,CTA PLATFORM,3
C34,ALLEY,3
C34,COMMERCIAL / BUSINESS OFFICE,2
C34,RESIDENCE PORCH/HALLWAY,2
C34,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C34,VEHICLE - OTHER RIDE SERVICE,1
C34,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C34,DRIVEWAY - RESIDENTIAL,1
C34,DRUG STORE,1
C34,FIRE STATION,1
C34,CONSTRUCTION SITE,1
C34,NURSING HOME/RETIREMENT HOME,1
C35,STREET,140
C35,APARTMENT,120
C35,RESIDENCE,68
C35,SIDEWALK,35
C35,PARKING LOT/GARAGE(NON.RESID.),34
C35,OTHER,25
C35,CHA PARKING LOT/GROUNDS,18
C35,CHA HALLWAY/STAIRWELL/ELEVATOR,17
C35,GAS STATION,15
C35,RESTAURANT,14
C35,CHA APARTMENT,14
C35,GROCERY FOOD STORE,10
C35,VEHICLE NON-COMMERCIAL,10
C35,RESIDENTIAL YARD (FRONT/BACK),7
C35,CONVENIENCE STORE,6
C35,DRUG STORE,6
C35,HOTEL/MOTEL,5
C35,PARK PROPERTY,5
C35,COLLEGE/UNIVERSITY GROUNDS,4
C35,RESIDENCE-GARAGE,4
C35,SMALL RETAIL STORE,4
C35,NURSING HOME/RETIREMENT HOME,3
C35,TAXICAB,3
C35,RESIDENCE PORCH/HALLWAY,3
C35,CTA TRAIN,2
C35,CTA BUS,2
C35,POLICE FACILITY/VEH PARKING LOT,2
C35,VACANT LOT/LAND,2
C35,"SCHOOL, PUBLIC, BUILDING",2
C35,ALLEY,2
C35,"SCHOOL, PUBLIC, GROUNDS",2
C35,BANK,2
C35,"SCHOOL, PRIVATE, GROUNDS",2
C35,TAVERN/LIQUOR STORE,1
C35,CHA PARKING LOT,1
C35,DEPARTMENT STORE,1
C35,CTA GARAGE / OTHER PROPERTY,1
C35,BAR OR TAVERN,1
C35,CTA STATION,1
C35,CTA BUS STOP,1
C35,BOAT/WATERCRAFT,1
C35,CTA PLATFORM,1
C35,LAKEFRONT/WATERFRONT/RIVERBANK,1
C35,COMMERCIAL / BUSINESS OFFICE,1
C35,DRIVEWAY - RESIDENTIAL,1
C35,ATM (AUTOMATIC TELLER MACHINE),1
C36,APARTMENT,62
C36,STREET,57
C36,RESIDENCE,32
C36,VEHICLE NON-COMMERCIAL,7
C36,RESIDENCE-GARAGE,6
C36,CHA APARTMENT,5
C36,PARKING LOT/GARAGE(NON.RESID.),5
C36,OTHER,5
C36,ALLEY,4
C36,RESIDENTIAL YARD (FRONT/BACK),4
C36,SIDEWALK,4
C36,PARK PROPERTY,4
C36,RESIDENCE PORCH/HALLWAY,3
C36,CHA PARKING LOT/GROUNDS,2
C36,TAXICAB,1
C36,DRIVEWAY - RESIDENTIAL,1
C36,CTA BUS,1
C36,AIRCRAFT,1
C36,GOVERNMENT BUILDING/PROPERTY,1
C37,STREET,65
C37,RESIDENCE,29
C37,APARTMENT,24
C37,GAS STATION,22
C37,PARKING LOT/GARAGE(NON.RESID.),17
C37,POLICE FACILITY/VEH PARKING LOT,15
C37,SIDEWALK,14
C37,CTA TRAIN,10
C37,CTA PLATFORM,6
C37,CURRENCY EXCHANGE,4
C37,VEHICLE NON-COMMERCIAL,4
C37,CTA STATION,4
C37,RESTAURANT,4
C37,ALLEY,3
C37,OTHER,3
C37,ATM (AUTOMATIC TELLER MACHINE),2
C37,GOVERNMENT BUILDING/PROPERTY,2
C37,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C37,VEHICLE - DELIVERY TRUCK,1
C37,OTHER RAILROAD PROP / TRAIN DEPOT,1
C37,RESIDENTIAL YARD (FRONT/BACK),1
C37,CTA BUS,1
C37,CONSTRUCTION SITE,1
C37,CTA TRACKS - RIGHT OF WAY,1
C37,JAIL / LOCK-UP FACILITY,1
C37,HIGHWAY/EXPRESSWAY,1
C37,TAXICAB,1
C37,CONVENIENCE STORE,1
C37,RESIDENCE PORCH/HALLWAY,1
C37,CTA BUS STOP,1
C38,STREET,279
C38,APARTMENT,205
C38,RESIDENCE,109
C38,SIDEWALK,62
C38,OTHER,31
C38,VEHICLE NON-COMMERCIAL,27
C38,HOTEL/MOTEL,22
C38,RESIDENTIAL YARD (FRONT/BACK),21
C38,RESIDENCE PORCH/HALLWAY,17
C38,GAS STATION,17
C38,RESIDENCE-GARAGE,17
C38,RESTAURANT,14
C38,PARKING LOT/GARAGE(NON.RESID.),13
C38,ALLEY,12
C38,CHA APARTMENT,8
C38,CHA PARKING LOT/GROUNDS,8
C38,BAR OR TAVERN,7
C38,TAVERN/LIQUOR STORE,5
C38,CONVENIENCE STORE,3
C38,NURSING HOME/RETIREMENT HOME,3
C38,"SCHOOL, PUBLIC, BUILDING",3
C38,"SCHOOL, PUBLIC, GROUNDS",3
C38,SMALL RETAIL STORE,3
C38,DRIVEWAY - RESIDENTIAL,3
C38,CHA HALLWAY/STAIRWELL/ELEVATOR,3
C38,CTA TRAIN,3
C38,PARK PROPERTY,3
C38,GROCERY FOOD STORE,2
C38,HOSPITAL BUILDING/GROUNDS,2
C38,TAXICAB,1
C38,GOVERNMENT BUILDING/PROPERTY,1
C38,CTA STATION,1
C38,CTA GARAGE / OTHER PROPERTY,1
C38,CTA PLATFORM,1
C38,COMMERCIAL / BUSINESS OFFICE,1
C38,CTA BUS STOP,1
C38,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C38,DAY CARE CENTER,1
C38,AUTO,1
C38,CTA BUS,1
C38,DEPARTMENT STORE,1
C38,ATM (AUTOMATIC TELLER MACHINE),1
C39,STREET,132
C39,APARTMENT,93
C39,RESIDENCE,71
C39,SIDEWALK,20
C39,ALLEY,15
C39,VEHICLE NON-COMMERCIAL,14
C39,OTHER,11
C39,RESIDENCE PORCH/HALLWAY,8
C39,GAS STATION,8
C39,PARKING LOT/GARAGE(NON.RESID.),8
C39,RESIDENTIAL YARD (FRONT/BACK),5
C39,RESIDENCE-GARAGE,4
C39,RESTAURANT,3
C39,PARK PROPERTY,3
C39,DRIVEWAY - RESIDENTIAL,2
C39,NURSING HOME/RETIREMENT HOME,2
C39,VEHICLE - OTHER RIDE SERVICE,1
C39,"SCHOOL, PUBLIC, BUILDING",1
C39,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C39,CHA APARTMENT,1
C39,ATM (AUTOMATIC TELLER MACHINE),1
C39,AUTO,1
C39,CHA PARKING LOT/GROUNDS,1
C39,HOTEL/MOTEL,1
C39,GROCERY FOOD STORE,1
C39,VACANT LOT/LAND,1
C4,STREET,161
C4,APARTMENT,65
C4,RESIDENCE,53
C4,SIDEWALK,38
C4,OTHER,31
C4,RESIDENCE-GARAGE,21
C4,ALLEY,18
C4,PARKING LOT/GARAGE(NON.RESID.),16
C4,HOTEL/MOTEL,14
C4,BAR OR TAVERN,13
C4,HOSPITAL BUILDING/GROUNDS,12
C4,PARK PROPERTY,11
C4,RESIDENTIAL YARD (FRONT/BACK),11
C4,RESTAURANT,10
C4,RESIDENCE PORCH/HALLWAY,9
C4,CONVENIENCE STORE,6
C4,SMALL RETAIL STORE,6
C4,VEHICLE NON-COMMERCIAL,5
C4,TAXICAB,5
C4,TAVERN/LIQUOR STORE,5
C4,NURSING HOME/RETIREMENT HOME,4
C4,ATM (AUTOMATIC TELLER MACHINE),3
C4,CTA STATION,3
C4,GAS STATION,3
C4,POLICE FACILITY/VEH PARKING LOT,2
C4,VEHICLE - OTHER RIDE SERVICE,2
C4,COMMERCIAL / BUSINESS OFFICE,2
C4,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C4,DRIVEWAY - RESIDENTIAL,2
C4,WAREHOUSE,1
C4,BARBERSHOP,1
C4,CTA GARAGE / OTHER PROPERTY,1
C4,GOVERNMENT BUILDING/PROPERTY,1
C4,CAR WASH,1
C4,VACANT LOT/LAND,1
C4,"SCHOOL, PUBLIC, BUILDING",1
C4,MOVIE HOUSE/THEATER,1
C4,CTA PLATFORM,1
C4,MEDICAL/DENTAL OFFICE,1
C4,BANK,1
C4,CLEANING STORE,1
C4,DAY CARE CENTER,1
C4,DRUG STORE,1
C4,CTA BUS,1
C40,APARTMENT,243
C40,STREET,182
C40,RESIDENCE,89
C40,SIDEWALK,68
C40,ALLEY,30
C40,OTHER,26
C40,RESIDENTIAL YARD (FRONT/BACK),23
C40,RESIDENCE PORCH/HALLWAY,19
C40,VEHICLE NON-COMMERCIAL,18
C40,GAS STATION,17
C40,PARKING LOT/GARAGE(NON.RESID.),12
C40,PARK PROPERTY,7
C40,RESTAURANT,4
C40,CONVENIENCE STORE,4
C40,VACANT LOT/LAND,4
C40,TAXICAB,4
C40,CTA PLATFORM,3
C40,TAVERN/LIQUOR STORE,3
C40,BAR OR TAVERN,3
C40,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C40,RESIDENCE-GARAGE,2
C40,CHA APARTMENT,2
C40,CTA BUS,2
C40,CTA TRAIN,2
C40,GROCERY FOOD STORE,2
C40,"SCHOOL, PUBLIC, GROUNDS",1
C40,CTA BUS STOP,1
C40,DRIVEWAY - RESIDENTIAL,1
C40,COMMERCIAL / BUSINESS OFFICE,1
C40,ABANDONED BUILDING,1
C40,AUTO,1
C40,CONSTRUCTION SITE,1
C40,CHA PARKING LOT/GROUNDS,1
C40,POOL ROOM,1
C40,CTA STATION,1
C40,CTA GARAGE / OTHER PROPERTY,1
C40,"SCHOOL, PUBLIC, BUILDING",1
C41,STREET,103
C41,APARTMENT,80
C41,RESIDENCE,49
C41,SIDEWALK,36
C41,OTHER,20
C41,RESTAURANT,15
C41,VEHICLE NON-COMMERCIAL,14
C41,HOSPITAL BUILDING/GROUNDS,14
C41,RESIDENCE PORCH/HALLWAY,11
C41,RESIDENTIAL YARD (FRONT/BACK),10
C41,PARKING LOT/GARAGE(NON.RESID.),10
C41,PARK PROPERTY,8
C41,ALLEY,7
C41,SMALL RETAIL STORE,6
C41,CONVENIENCE STORE,4
C41,BAR OR TAVERN,4
C41,RESIDENCE-GARAGE,4
C41,DRUG STORE,4
C41,DEPARTMENT STORE,2
C41,LAKEFRONT/WATERFRONT/RIVERBANK,2
C41,VEHICLE - OTHER RIDE SERVICE,2
C41,GAS STATION,2
C41,CTA BUS,1
C41,COLLEGE/UNIVERSITY RESIDENCE HALL,1
C41,COLLEGE/UNIVERSITY GROUNDS,1
C41,TAXICAB,1
C41,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1
C41,GROCERY FOOD STORE,1
C41,NURSING HOME/RETIREMENT HOME,1
C41,ATHLETIC CLUB,1
C41,COMMERCIAL / BUSINESS OFFICE,1
C41,BANK,1
C41,DRIVEWAY - RESIDENTIAL,1
C42,APARTMENT,330
C42,STREET,299
C42,RESIDENCE,167
C42,SIDEWALK,84
C42,ALLEY,33
C42,OTHER,24
C42,VEHICLE NON-COMMERCIAL,23
C42,RESIDENTIAL YARD (FRONT/BACK),23
C42,POLICE FACILITY/VEH PARKING LOT,20
C42,GAS STATION,19
C42,RESIDENCE PORCH/HALLWAY,18
C42,PARKING LOT/GARAGE(NON.RESID.),17
C42,RESIDENCE-GARAGE,14
C42,SMALL RETAIL STORE,10
